"","State","Year","Political_Party","New_Policies","Total_Energy","NonRenewable_Energy","NonRenewable_Percent","Renewable_Energy","Renewable_Percent"
"437","ME",2010,"Democrat",1,395546,258889,65,136657,35
"438","ME",2011,"Republican (2nd Gov. mid-year)",1,393616,256130,65,137486,35
"439","ME",2012,"Republican",1,375922,241226,64,134696,36
"440","ME",2013,"Republican",1,390870,250764,64,140106,36
"441","ME",2014,"Republican",0,389665,254444,65,135221,35
"442","ME",2015,"Republican",0,399556,259079,65,140477,35
"443","ME",2016,"Republican",0,368409,246481,67,121928,33
"444","ME",2017,"Republican",0,355026,233893,66,121133,34
"445","ME",2018,"Republican",1,356505,233676,66,122829,34
"446","ME",2019,"Republican",0,350692,229801,66,120891,34
"447","MI",2000,"Republican",1,3211610,3102935,97,108675,3
"448","MI",2001,"Republican",1,3092545,3004338,97,88207,3
"449","MI",2002,"Republican",0,3148731,3060529,97,88202,3
"450","MI",2003,"Democrat (2nd Gov. mid-year)",1,3187033,3083728,97,103305,3
"451","MI",2004,"Democrat",1,3152951,3044995,97,107956,3
"452","MI",2005,"Democrat",0,3203878,3082669,96,121209,4
"453","MI",2006,"Democrat",5,3032895,2912946,96,119949,4
"454","MI",2007,"Democrat",2,3013504,2881275,96,132229,4
"455","MI",2008,"Democrat",1,2905605,2757073,95,148532,5
"456","MI",2009,"Democrat",10,2679168,2540235,95,138933,5
"457","MI",2010,"Democrat",11,2774343,2624516,95,149827,5
"458","MI",2011,"Republican (2nd Gov. mid-year)",2,2810874,2646301,94,164573,6
"459","MI",2012,"Republican",0,2703263,2538450,94,164813,6
"460","MI",2013,"Republican",0,2843130,2660587,94,182543,6
"461","MI",2014,"Republican",1,2880439,2692901,93,187538,7
"462","MI",2015,"Republican",1,2792943,2591293,93,201650,7
"463","MI",2016,"Republican",0,2771665,2574349,93,197316,7
"464","MI",2017,"Republican",0,2760178,2562763,93,197415,7
"465","MI",2018,"Republican",0,2873868,2668155,93,205713,7
"466","MI",2019,"Republican",0,2840026,2638061,93,201965,7
"467","MN",2000,"Minnesota Independence Party",8,1735761,1642358,95,93403,5
"468","MN",2001,"Minnesota Independence Party",3,1706313,1610229,94,96084,6
"469","MN",2002,"Minnesota Independence Party",0,1767476,1675039,95,92437,5
"470","MN",2003,"Republican (2nd Gov. mid-year)",1,1843962,1748425,95,95537,5
"471","MN",2004,"Republican",1,1846595,1741974,94,104621,6
"472","MN",2005,"Republican",2,1851444,1743169,94,108275,6
"473","MN",2006,"Republican",33,1821508,1708787,94,112721,6
"474","MN",2007,"Republican",33,1869802,1737876,93,131926,7
"475","MN",2008,"Republican",2,1874372,1727523,92,146849,8
"476","MN",2009,"Republican",15,1742930,1576293,90,166637,10
"477","MN",2010,"Republican",3,1813361,1624124,90,189237,10
"478","MN",2011,"Democratic-Farmer-Labor (2nd Gov. mid-year)",5,1792762,1598276,89,194486,11
"479","MN",2012,"Democratic-Farmer-Labor",1,1747882,1554694,89,193188,11
"480","MN",2013,"Democratic-Farmer-Labor",1,1821090,1629310,89,191780,11
"481","MN",2014,"Democratic-Farmer-Labor",2,1868616,1657265,89,211351,11
"482","MN",2015,"Democratic-Farmer-Labor",3,1745523,1530015,88,215508,12
"483","MN",2016,"Democratic-Farmer-Labor",1,1770116,1552574,88,217542,12
"484","MN",2017,"Democratic-Farmer-Labor",0,1779751,1562161,88,217590,12
"485","MN",2018,"Democratic-Farmer-Labor",0,1857588,1634208,88,223380,12
"486","MN",2019,"Democratic-Farmer-Labor",3,1822664,1597807,88,224857,12
"487","MO",2000,"Democrat",3,1826062,1806842,99,19220,1
"488","MO",2001,"Democrat",0,1856035,1830540,99,25495,1
"489","MO",2002,"Democrat",0,1868202,1839527,98,28675,2
"490","MO",2003,"Democrat",1,1879317,1849026,98,30291,2
"491","MO",2004,"Democrat",1,1884851,1850516,98,34335,2
"492","MO",2005,"Republican (2nd Gov. mid-year)",0,1974667,1927711,98,46956,2
"493","MO",2006,"Republican",7,1966264,1924144,98,42120,2
"494","MO",2007,"Republican",7,1977175,1922968,97,54207,3
"495","MO",2008,"Republican",8,1934242,1864656,96,69586,4
"496","MO",2009,"Democrat (2nd Gov. mid-year)",3,1830471,1753265,96,77206,4
"497","MO",2010,"Democrat",9,1909924,1824933,96,84991,4
"498","MO",2011,"Democrat",0,1854082,1773071,96,81011,4
"499","MO",2012,"Democrat",1,1777037,1704719,96,72318,4
"500","MO",2013,"Democrat",1,1837558,1754405,95,83153,5
"501","MO",2014,"Democrat",5,1898451,1811773,95,86678,5
"502","MO",2015,"Democrat",0,1812747,1733660,96,79087,4
"503","MO",2016,"Democrat",4,1761978,1682818,96,79160,4
"504","MO",2017,"Republican (2nd Gov. mid-year)",0,1722939,1640240,95,82699,5
"505","MO",2018,"Republican",2,1836631,1748718,95,87913,5
"506","MO",2019,"Republican",0,1772045,1680215,95,91830,5
"507","MO",2020,"Republican",0,1654294,1577237,95,77057,5
"508","MO",2021,"Republican",2,1696141,1607262,95,88879,5
"509","MO",2022,"Republican",0,1729607,1634295,94,95312,6
"510","MO",2023,"Republican",0,1681954,1591542,95,90412,5
"511","MS",2000,"Democrat (2nd Gov. mid-year)",1,1242230,1166841,94,75389,6
"512","MS",2001,"Democrat",0,1132668,1076564,95,56104,5
"513","MS",2002,"Democrat",0,1170397,1120725,96,49672,4
"514","MS",2003,"Democrat",0,1201624,1156253,96,45371,4
"515","MS",2004,"Republican (2nd Gov. mid-year)",0,1206056,1144754,95,61302,5
"516","MS",2005,"Republican",0,1173361,1110395,95,62966,5
"517","MS",2006,"Republican",4,1209261,1145588,95,63673,5
"518","MS",2007,"Republican",0,1223586,1158960,95,64626,5
"519","MS",2008,"Republican",1,1163638,1113154,96,50484,4
"520","MS",2009,"Republican",0,1110149,1053266,95,56883,5
"521","MS",2010,"Republican",2,1153321,1078520,94,74801,6
"522","MS",2011,"Republican",0,1126395,1050689,93,75706,7
"523","MS",2012,"Republican",0,1112775,1024463,92,88312,8
"524","MS",2013,"Republican",0,1089942,1013673,93,76269,7
"525","MS",2014,"Republican",1,1102348,1024408,93,77940,7
"526","MS",2015,"Republican",4,1085094,1011399,93,73695,7
"527","MS",2016,"Republican",0,1071655,995427,93,76228,7
"528","MS",2017,"Republican",2,1067882,997057,93,70825,7
"529","MS",2018,"Republican",0,1104397,1033553,94,70844,6
"530","MS",2019,"Republican",0,1092194,1025208,94,66986,6
"531","MS",2020,"Republican",1,1035679,970610,94,65069,6
"532","MT",2000,"Republican",3,372039,323579,87,48460,13
"533","MT",2001,"Republican",2,335079,300198,90,34881,10
"534","MT",2002,"Republican",1,347138,303089,87,44049,13
"535","MT",2003,"Republican",4,349542,307503,88,42039,12
"536","MT",2004,"Republican",0,371586,328433,88,43153,12
"537","MT",2005,"Democrat (2nd Gov. mid-year)",2,389848,338103,87,51745,13
"538","MT",2006,"Democrat",7,405771,351197,87,54574,13
"539","MT",2007,"Democrat",2,433895,378128,87,55767,13
"540","MT",2008,"Democrat",0,419269,362085,86,57184,14
"541","MT",2009,"Democrat",1,389891,339003,87,50888,13
"542","MT",2010,"Democrat",2,373201,321622,86,51579,14
"543","MT",2011,"Democrat",0,362401,306294,85,56107,15
"544","MT",2012,"Democrat",0,357211,306008,86,51203,14
"545","MT",2013,"Democrat",0,369323,321064,87,48259,13
"546","MT",2014,"Democrat",0,364263,308655,85,55608,15
"547","MT",2015,"Democrat",0,368124,308800,84,59324,16
"548","MT",2016,"Democrat",0,368963,307551,83,61412,17
"549","MT",2017,"Democrat",0,381910,317335,83,64575,17
"550","MT",2018,"Democrat",0,393240,323288,82,69952,18
"551","MT",2019,"Democrat",0,405678,340210,84,65468,16
"552","MT",2020,"Democrat",0,371144,311332,84,59812,16
"553","MT",2021,"Democrat",0,379133,322799,85,56334,15
"554","NC",2000,"Democrat",2,2587711,2469504,95,118207,5
"555","NC",2001,"Democrat",0,2529858,2415928,95,113930,5
"556","NC",2002,"Democrat",0,2545210,2437991,96,107219,4
"557","NC",2003,"Democrat",0,2542759,2402214,94,140545,6
"558","NC",2004,"Democrat",1,2626745,2514952,96,111793,4
"559","NC",2005,"Democrat",2,2661860,2549720,96,112140,4
"560","NC",2006,"Democrat",8,2619752,2504280,96,115472,4
"561","NC",2007,"Democrat",7,2661571,2562659,96,98912,4
"562","NC",2008,"Democrat",4,2671034,2522720,94,148314,6
"563","NC",2009,"Democrat",14,2513686,2365947,94,147739,6
"564","NC",2010,"Democrat",5,2716889,2556760,94,160129,6
"565","NC",2011,"Democrat",2,2588774,2422964,94,165810,6
"566","NC",2012,"Democrat",2,2499341,2334569,93,164772,7
"567","NC",2013,"Republican (2nd Gov. mid-year)",1,2503234,2317353,93,185881,7
"568","NC",2014,"Republican",1,2557339,2380049,93,177290,7
"569","NC",2015,"Republican",2,2548314,2376506,93,171808,7
"570","NC",2016,"Republican",0,2561023,2383519,93,177504,7
"571","NC",2017,"Democrat",0,2507091,2321600,93,185491,7
"572","NC",2018,"Democrat",0,2595129,2399162,92,195967,8
"573","NC",2019,"Democrat",2,2566245,2367686,92,198559,8
"574","NC",2020,"Democrat",1,2363742,2161018,91,202724,9
"575","NC",2021,"Democrat",2,2519796,2322823,92,196973,8
"576","NC",2022,"Democrat",2,2578739,2380574,92,198165,8
"577","NC",2023,"Democrat",1,2472784,2285980,92,186804,8
"578","ND",2000,"Republican",3,377163,365422,97,11741,3
"579","ND",2001,"Republican",0,404329,394055,97,10274,3
"580","ND",2002,"Republican",0,397570,386597,97,10973,3
"581","ND",2003,"Republican",0,396611,384389,97,12222,3
"582","ND",2004,"Republican",0,400176,387695,97,12481,3
"583","ND",2005,"Republican",0,405595,393142,97,12453,3
"584","ND",2006,"Republican",2,411170,397968,97,13202,3
"585","ND",2007,"Republican",2,432847,413364,95,19483,5
"586","ND",2008,"Republican",1,436772,412591,94,24181,6
"587","ND",2009,"Republican",0,424254,388755,92,35499,8
"588","ND",2010,"Republican",0,459000,414226,90,44774,10
"589","ND",2011,"Republican",3,505928,453481,90,52447,10
"590","ND",2012,"Republican",2,529650,478464,90,51186,10
"591","ND",2013,"Republican",0,570946,519625,91,51321,9
"592","ND",2014,"Republican",0,613985,557774,91,56211,9
"593","ND",2015,"Republican",0,583751,525505,90,58246,10
"594","ND",2016,"Republican",0,555107,488739,88,66368,12
"595","ND",2017,"Republican",0,595110,510722,86,84388,14
"596","ND",2018,"Republican",0,624149,540800,87,83349,13
"597","ND",2019,"Republican",0,641160,556218,87,84942,13
"598","ND",2020,"Republican",0,619246,529528,86,89718,14
"599","ND",2021,"Republican",0,653347,560694,86,92653,14
"600","ND",2022,"Republican",0,675385,579361,86,96024,14
"601","ND",2023,"Republican",1,703926,611772,87,92154,13
"602","NE",2000,"Republican",2,658506,625008,95,33498,5
"603","NE",2001,"Republican",0,657462,621852,95,35610,5
"604","NE",2002,"Republican",0,669254,632511,95,36743,5
"605","NE",2003,"Republican",0,679281,640567,94,38714,6
"606","NE",2004,"Republican",0,691976,646131,93,45845,7
"607","NE",2005,"Republican",0,698718,653427,94,45291,6
"608","NE",2006,"Republican",1,714178,666562,93,47616,7
"609","NE",2007,"Republican",1,754246,693855,92,60391,8
"610","NE",2008,"Republican",0,792458,711412,90,81046,10
"611","NE",2009,"Republican",6,773922,692302,89,81620,11
"612","NE",2010,"Republican",1,858000,735447,86,122553,14
"613","NE",2011,"Republican",1,848376,721099,85,127277,15
"614","NE",2012,"Republican",0,837542,720565,86,116977,14
"615","NE",2013,"Republican",1,856122,736161,86,119961,14
"616","NE",2014,"Republican",0,859049,727340,85,131709,15
"617","NE",2015,"Republican",0,835564,699939,84,135625,16
"618","NE",2016,"Republican",2,846564,705451,83,141113,17
"619","NE",2017,"Republican",0,838416,689682,82,148734,18
"620","NE",2018,"Republican",1,873966,723216,83,150750,17
"621","NE",2019,"Republican",0,866742,710007,82,156735,18
"622","NE",2020,"Republican",0,813101,667627,82,145474,18
"623","NE",2021,"Republican",1,843971,685696,81,158275,19
"624","NE",2022,"Republican",1,848127,679745,80,168382,20
"625","NE",2023,"Republican",0,840136,675634,80,164502,20
"626","NH",2000,"Democrat",3,302941,274010,90,28931,10
"627","NH",2001,"Democrat",0,301533,278201,92,23332,8
"628","NH",2002,"Democrat",1,310926,289740,93,21186,7
"629","NH",2003,"Republican (2nd Gov. mid-year)",0,320333,299417,93,20916,7
"630","NH",2004,"Republican",0,327923,301683,92,26240,8
"631","NH",2005,"Democrat (2nd Gov. mid-year)",0,320450,289803,90,30647,10
"632","NH",2006,"Democrat",13,302739,276632,91,26107,9
"633","NH",2007,"Democrat",3,305098,274806,90,30292,10
"634","NH",2008,"Democrat",0,296396,263314,89,33082,11
"635","NH",2009,"Democrat",1,292087,253209,87,38878,13
"636","NH",2010,"Democrat",4,294182,252807,86,41375,14
"637","NH",2011,"Democrat",1,291327,249737,86,41590,14
"638","NH",2012,"Democrat",0,282660,241178,85,41482,15
"639","NH",2013,"Democrat",0,299764,251963,84,47801,16
"640","NH",2014,"Democrat",0,307962,257402,84,50560,16
"641","NH",2015,"Democrat",1,310768,253650,82,57118,18
"642","NH",2016,"Democrat",1,301534,248777,83,52757,17
"643","NH",2017,"Republican (2nd Gov. mid-year)",0,310340,255440,82,54900,18
"644","NH",2018,"Republican",0,318213,266587,84,51626,16
"645","NH",2019,"Republican",1,312436,261451,84,50985,16
"646","NH",2020,"Republican",0,285472,247678,87,37794,13
"647","NH",2021,"Republican",1,292720,254241,87,38479,13
"648","NH",2022,"Republican",2,297703,257840,87,39863,13
"649","NH",2023,"Republican",8,294907,255919,87,38988,13
"650","NJ",2000,"Republican",3,2477618,2436702,98,40916,2
"651","NJ",2001,"Republican",2,2452615,2422719,99,29896,1
"652","NJ",2002,"Democrat (2nd Gov. mid-year)",0,2479729,2451091,99,28638,1
"653","NJ",2003,"Democrat",1,2507742,2481291,99,26451,1
"654","NJ",2004,"Democrat",0,2551491,2524226,99,27265,1
"655","NJ",2006,"Democrat",5,2531346,2483654,98,47692,2
"656","NJ",2007,"Democrat",2,2655233,2602260,98,52973,2
"657","NJ",2008,"Democrat",3,2581953,2531658,98,50295,2
"658","NJ",2009,"Democrat",4,2360786,2295276,97,65510,3
"659","NJ",2010,"Republican (2nd Gov. mid-year)",4,2277813,2205487,97,72326,3
"660","NJ",2011,"Republican",1,2261325,2189295,97,72030,3
"661","NJ",2012,"Republican",2,2154878,2083940,97,70938,3
"662","NJ",2013,"Republican",0,2198547,2120674,96,77873,4
"663","NJ",2014,"Republican",2,2212385,2131647,96,80738,4
"664","NJ",2015,"Republican",2,2166983,2096705,97,70278,3
"665","NJ",2016,"Republican",0,2125088,2051320,97,73768,3
"666","NJ",2017,"Republican",0,2071086,2001769,97,69317,3
"667","NJ",2018,"Republican",1,2171789,2102587,97,69202,3
"668","NM",2000,"Republican",2,661807,652698,99,9109,1
"669","NM",2001,"Republican",0,660774,654500,99,6274,1
"670","NM",2002,"Republican",1,658663,652255,99,6408,1
"671","NM",2003,"Democrat (2nd Gov. mid-year)",1,659610,653233,99,6377,1
"672","NM",2004,"Democrat",0,682293,674873,99,7420,1
"673","NM",2005,"Democrat",2,681623,664303,97,17320,3
"674","NM",2006,"Democrat",2,686722,667653,97,19069,3
"675","NM",2007,"Democrat",3,708988,687542,97,21446,3
"676","NM",2008,"Democrat",3,669937,645679,96,24258,4
"677","NM",2009,"Democrat",3,637573,615696,97,21877,3
"678","NM",2010,"Democrat",6,644615,617676,96,26939,4
"679","NM",2011,"Republican (2nd Gov. mid-year)",2,661374,633072,96,28302,4
"680","NM",2012,"Republican",2,657153,629085,96,28068,4
"681","NM",2013,"Republican",0,660840,631312,96,29528,4
"682","NM",2014,"Republican",2,667442,637734,96,29708,4
"683","NM",2015,"Republican",0,667386,635972,95,31414,5
"684","NM",2016,"Republican",1,652846,615468,94,37378,6
"685","NM",2017,"Republican",1,657837,615898,94,41939,6
"686","NM",2018,"Republican",0,667998,617646,92,50352,8
"687","NM",2019,"Republican",0,702099,645462,92,56637,8
"688","NV",2000,"Republican",7,603315,581995,96,21320,4
"689","NV",2001,"Republican",0,609458,589168,97,20290,3
"690","NV",2002,"Republican",0,603491,583975,97,19516,3
"691","NV",2003,"Republican",2,633191,614997,97,18194,3
"692","NV",2004,"Republican",0,667681,648940,97,18741,3
"693","NV",2005,"Republican",0,687650,669049,97,18601,3
"694","NV",2006,"Republican",2,719850,700127,97,19723,3
"695","NV",2007,"Republican",4,709143,688637,97,20506,3
"696","NV",2008,"Republican",1,674324,651294,97,23030,3
"697","NV",2009,"Republican",3,624799,597944,96,26855,4
"698","NV",2010,"Republican",2,669780,641841,96,27939,4
"699","NV",2011,"Republican",1,656117,627907,96,28210,4
"700","NV",2012,"Republican",0,650980,620555,95,30425,5
"701","NV",2013,"Republican",0,665141,630575,95,34566,5
"702","NV",2014,"Republican",0,667599,631992,95,35607,5
"703","NV",2015,"Republican",0,654144,613383,94,40761,6
"704","NV",2016,"Republican",0,676850,630559,93,46291,7
"705","NV",2017,"Republican",0,699273,648899,93,50374,7
"706","NV",2018,"Republican",0,714668,660323,92,54345,8
"707","NV",2019,"Democrat (2nd Gov. mid-year)",0,715008,656742,92,58266,8
"708","NV",2020,"Democrat",1,643507,585980,91,57527,9
"709","NV",2021,"Democrat",0,687606,623959,91,63647,9
"710","NV",2022,"Democrat",0,706539,633805,90,72734,10
"711","NV",2023,"Democrat",0,689433,614555,89,74878,11
"712","NY",2000,"Republican",4,3966053,3704746,93,261307,7
"713","NY",2001,"Republican",2,3859806,3668587,95,191219,5
"714","NY",2002,"Republican",1,3854372,3659959,95,194413,5
"715","NY",2003,"Republican",1,3992726,3796634,95,196092,5
"716","NY",2004,"Republican",0,4094407,3870322,95,224085,5
"717","NY",2005,"Republican",1,3977272,3773946,95,203326,5
"718","NY",2006,"Republican",6,3687714,3469461,94,218253,6
"719","NY",2007,"Democrat (2nd Gov. mid-year)",3,3785871,3563781,94,222090,6
"720","NY",2008,"Democrat",5,3691737,3444522,93,247215,7
"721","NY",2009,"Democrat",17,3503947,3285350,94,218597,6
"722","NY",2010,"Democrat",9,3690774,3464371,94,226403,6
"723","NY",2011,"Democrat",5,3557476,3316959,93,240517,7
"724","NY",2012,"Democrat",1,3412306,3186112,93,226194,7
"725","NY",2013,"Democrat",1,3543324,3300886,93,242438,7
"726","NY",2014,"Democrat",3,3651925,3399780,93,252145,7
"727","NY",2015,"Democrat",0,3655768,3388806,93,266962,7
"728","NY",2016,"Democrat",2,3578728,3309006,92,269722,8
"729","NY",2017,"Democrat",3,3559511,3275542,92,283969,8
"730","NY",2018,"Democrat",0,3733207,3443915,92,289292,8
"731","NY",2019,"Democrat",3,3630879,3338883,92,291996,8
"732","NY",2020,"Democrat",1,3141560,2880761,92,260799,8
"733","NY",2021,"Democrat",14,3344919,3080942,92,263977,8
"734","OH",2000,"Republican",5,4259607,4164640,98,94967,2
"735","OH",2001,"Republican",1,3999662,3934823,98,64839,2
"736","OH",2002,"Republican",0,3939151,3887337,99,51814,1
"737","OH",2003,"Republican",1,4007179,3946979,98,60200,2
"738","OH",2004,"Republican",0,4039591,3977637,98,61954,2
"739","OH",2005,"Republican",0,4069541,3999379,98,70162,2
"740","OH",2006,"Republican",2,3911618,3838821,98,72797,2
"741","OH",2007,"Democrat (2nd Gov. mid-year)",2,4037709,3956553,98,81156,2
"742","OH",2008,"Democrat",4,3987333,3873971,97,113362,3
"743","OH",2009,"Democrat",6,3651766,3540894,97,110872,3
"744","OH",2010,"Democrat",7,3774055,3648047,97,126008,3
"745","OH",2011,"Republican (2nd Gov. mid-year)",3,3728725,3595460,96,133265,4
"746","OH",2012,"Republican",0,3580052,3446427,96,133625,4
"747","OH",2013,"Republican",0,3657072,3508683,96,148389,4
"748","OH",2014,"Republican",2,3761488,3609652,96,151836,4
"749","OH",2015,"Republican",0,3659083,3512482,96,146601,4
"750","OH",2016,"Republican",0,3610452,3462558,96,147894,4
"751","OH",2017,"Republican",1,3556367,3411841,96,144526,4
"752","OH",2018,"Republican",0,3697336,3551624,96,145712,4
"753","OH",2019,"Republican",0,3578240,3432733,96,145507,4
"754","OK",2000,"Republican",1,1471342,1439411,98,31931,2
"755","OK",2001,"Republican",0,1492091,1459896,98,32195,2
"756","OK",2002,"Republican",0,1446109,1418582,98,27527,2
"757","OK",2003,"Democrat (2nd Gov. mid-year)",0,1477033,1447475,98,29558,2
"758","OK",2004,"Democrat",0,1455534,1416831,97,38703,3
"759","OK",2005,"Democrat",1,1507364,1465055,97,42309,3
"760","OK",2006,"Democrat",2,1553651,1514097,97,39554,3
"761","OK",2007,"Democrat",0,1546213,1495548,97,50665,3
"762","OK",2008,"Democrat",2,1550694,1502597,97,48097,3
"763","OK",2009,"Democrat",6,1460984,1408197,96,52787,4
"764","OK",2010,"Democrat",3,1542211,1475918,96,66293,4
"765","OK",2011,"Republican (2nd Gov. mid-year)",4,1537902,1468307,95,69595,5
"766","OK",2012,"Republican",2,1515448,1437041,95,78407,5
"767","OK",2013,"Republican",0,1542829,1446800,94,96029,6
"768","OK",2014,"Republican",2,1604125,1508139,94,95986,6
"769","OK",2015,"Republican",0,1538143,1433430,93,104713,7
"770","OK",2016,"Republican",0,1512185,1383331,91,128854,9
"771","OK",2017,"Republican",0,1514805,1372270,91,142535,9
"772","OK",2018,"Republican",0,1582673,1425835,90,156838,10
"773","OK",2019,"Republican",1,1541326,1374853,89,166473,11
"774","OR",2000,"Democrat",7,875026,696421,80,178605,20
"775","OR",2001,"Democrat",5,843152,690513,82,152639,18
"776","OR",2002,"Democrat",2,802635,634263,79,168372,21
"777","OR",2003,"Democrat",2,790533,629994,80,160539,20
"778","OR",2004,"Democrat",0,802333,637849,79,164484,21
"779","OR",2005,"Democrat",3,833558,673894,81,159664,19
"780","OR",2006,"Democrat",19,825499,639423,77,186076,23
"781","OR",2007,"Democrat",17,848545,671366,79,177179,21
"782","OR",2008,"Democrat",8,833313,648407,78,184906,22
"783","OR",2009,"Democrat",10,802266,610607,76,191659,24
"784","OR",2010,"Democrat",1,786172,598115,76,188057,24
"785","OR",2011,"Democrat",1,757856,526962,70,230894,30
"786","OR",2012,"Democrat",0,750369,520698,69,229671,31
"787","OR",2013,"Democrat",2,784796,561545,72,223251,28
"788","OR",2014,"Democrat",0,773334,540493,70,232841,30
"789","OR",2015,"Democrat",2,782114,556231,71,225883,29
"790","OR",2016,"Democrat",3,785750,547992,70,237758,30
"791","OR",2017,"Democrat",0,823286,568033,69,255253,31
"792","OR",2018,"Democrat",0,819942,567104,69,252838,31
"793","OR",2019,"Democrat",0,850720,613863,72,236857,28
"794","OR",2020,"Democrat",1,782885,547721,70,235164,30
"795","OR",2021,"Democrat",8,831873,606329,73,225544,27
"796","OR",2022,"Democrat",2,843766,605998,72,237768,28
"797","OR",2023,"Democrat",4,875020,638958,73,236062,27
"798","PA",2000,"Republican",3,3930803,3831724,97,99079,3
"799","PA",2001,"Republican",0,3841084,3755386,98,85698,2
"800","PA",2002,"Republican",5,3899649,3817838,98,81811,2
"801","PA",2003,"Democrat (2nd Gov. mid-year)",1,3943918,3856561,98,87357,2
"802","PA",2004,"Democrat",2,3991628,3896551,98,95077,2
"803","PA",2005,"Democrat",2,4022884,3930116,98,92768,2
"804","PA",2006,"Democrat",2,3892981,3794995,97,97986,3
"805","PA",2007,"Democrat",0,3949447,3846133,97,103314,3
"806","PA",2008,"Democrat",2,3926058,3800889,97,125169,3
"807","PA",2009,"Democrat",12,3608128,3467163,96,140965,4
"808","PA",2010,"Democrat",8,3736071,3572942,96,163129,4
"809","PA",2011,"Republican (2nd Gov. mid-year)",4,3727655,3547695,95,179960,5
"810","PA",2012,"Republican",1,3623830,3450693,95,173137,5
"811","PA",2013,"Republican",0,3832144,3634784,95,197360,5
"812","PA",2014,"Republican",0,3958079,3766494,95,191585,5
"813","PA",2015,"Democrat (2nd Gov. mid-year)",2,3873641,3676861,95,196780,5
"814","PA",2016,"Democrat",2,3739051,3544281,95,194770,5
"815","PA",2017,"Democrat",0,3739767,3541955,95,197812,5
"816","PA",2018,"Democrat",0,3901072,3697163,95,203909,5
"817","PA",2019,"Democrat",0,3794359,3601254,95,193105,5
"818","PA",2020,"Democrat",0,3389382,3211808,95,177574,5
"819","PA",2021,"Democrat",9,3615526,3435937,95,179589,5
"820","PA",2022,"Democrat",2,3738924,3556873,95,182051,5
"821","PA",2023,"Democrat",0,3607506,3429471,95,178035,5
"822","RI",2000,"Republican",3,205560,201074,98,4486,2
"823","RI",2001,"Republican",0,204139,200262,98,3877,2
"824","RI",2002,"Republican",0,203331,199620,98,3711,2
"825","RI",2003,"Republican",0,217784,213998,98,3786,2
"826","RI",2004,"Republican",1,215376,210876,98,4500,2
"827","RI",2005,"Republican",2,209035,207151,99,1884,1
"828","RI",2006,"Republican",4,199951,194556,97,5395,3
"829","RI",2007,"Republican",1,197786,191403,97,6383,3
"830","RI",2008,"Republican",4,194056,187773,97,6283,3
"831","RI",2009,"Republican",0,194769,187368,96,7401,4
"832","RI",2010,"Republican",1,195319,188177,96,7142,4
"833","RI",2011,"Democrat (2nd Gov. mid-year)",1,185462,178584,96,6878,4
"834","RI",2012,"Democrat",0,183397,177408,97,5989,3
"835","RI",2013,"Democrat",3,195484,189582,97,5902,3
"836","RI",2014,"Democrat",2,202362,194421,96,7941,4
"837","RI",2015,"Democrat",3,201687,192446,95,9241,5
"838","RI",2016,"Democrat",1,183572,174829,95,8743,5
"839","RI",2017,"Democrat",1,180777,171207,95,9570,5
"840","RI",2018,"Democrat",0,193934,183767,95,10167,5
"841","RI",2019,"Democrat",0,187842,176763,94,11079,6
"842","RI",2020,"Democrat",0,172609,160726,93,11883,7
"843","RI",2021,"Democrat",0,183459,171661,94,11798,6
"844","SC",2000,"Democrat",0,1604585,1522534,95,82051,5
"845","SC",2001,"Democrat",0,1555221,1493107,96,62114,4
"846","SC",2002,"Democrat",0,1593685,1522408,96,71277,4
"847","SC",2003,"Republican (2nd Gov. mid-year)",0,1585456,1506238,95,79218,5
"848","SC",2004,"Republican",0,1697642,1616315,95,81327,5
"849","SC",2005,"Republican",0,1667434,1581167,95,86267,5
"850","SC",2006,"Republican",12,1683303,1594078,95,89225,5
"851","SC",2007,"Republican",4,1662874,1574458,95,88416,5
"852","SC",2008,"Republican",2,1631932,1531781,94,100151,6
"853","SC",2009,"Republican",4,1561124,1453517,93,107607,7
"854","SC",2010,"Republican",4,1652727,1532954,93,119773,7
"855","SC",2011,"Republican",2,1612538,1484967,92,127571,8
"856","SC",2012,"Republican",1,1565404,1433720,92,131684,8
"857","SC",2013,"Republican",1,1585737,1446615,91,139122,9
"858","SC",2014,"Republican",2,1630494,1486089,91,144405,9
"859","SC",2015,"Republican",1,1649793,1512400,92,137393,8
"860","SC",2016,"Republican",0,1646697,1507810,92,138887,8
"861","SC",2017,"Republican",1,1637042,1494956,91,142086,9
"862","SD",2000,"Republican",0,226359,201722,89,24637,11
"863","SD",2001,"Republican",0,231498,214174,93,17324,7
"864","SD",2002,"Republican",0,244625,221829,91,22796,9
"865","SD",2003,"Republican",0,249667,221453,89,28214,11
"866","SD",2004,"Republican",0,262850,227406,87,35444,13
"867","SD",2005,"Republican",0,283354,243171,86,40183,14
"868","SD",2006,"Republican",2,286489,238126,83,48363,17
"869","SD",2007,"Republican",2,308666,259049,84,49617,16
"870","SD",2008,"Republican",5,330909,269196,81,61713,19
"871","SD",2009,"Republican",1,330443,255227,77,75216,23
"872","SD",2010,"Republican",4,334485,247548,74,86937,26
"873","SD",2011,"Republican",0,319103,223502,70,95601,30
"874","SD",2012,"Republican",2,324068,234372,72,89696,28
"875","SD",2013,"Republican",1,347092,259767,75,87325,25
"876","SD",2014,"Republican",0,344542,252379,73,92163,27
