"","State","Year","Political_Party","New_Policies","Renewable_Percent"
"698","NV",2010,"Republican",2,4
"699","NV",2011,"Republican",1,4
"700","NV",2012,"Republican",0,5
"701","NV",2013,"Republican",0,5
"702","NV",2014,"Republican",0,5
"703","NV",2015,"Republican",0,6
"704","NV",2016,"Republican",0,7
"705","NV",2017,"Republican",0,7
"706","NV",2018,"Republican",0,8
"707","NV",2019,"Democrat (2nd Gov. mid-year)",0,8
"708","NV",2020,"Democrat",1,9
"709","NV",2021,"Democrat",0,9
"710","NV",2022,"Democrat",0,10
"711","NV",2023,"Democrat",0,11
"712","NY",2000,"Republican",4,7
"713","NY",2001,"Republican",2,5
"714","NY",2002,"Republican",1,5
"715","NY",2003,"Republican",1,5
"716","NY",2004,"Republican",0,5
"717","NY",2005,"Republican",1,5
"718","NY",2006,"Republican",6,6
"719","NY",2007,"Democrat (2nd Gov. mid-year)",3,6
"720","NY",2008,"Democrat",5,7
"721","NY",2009,"Democrat",17,6
"722","NY",2010,"Democrat",9,6
"723","NY",2011,"Democrat",5,7
"724","NY",2012,"Democrat",1,7
"725","NY",2013,"Democrat",1,7
"726","NY",2014,"Democrat",3,7
"727","NY",2015,"Democrat",0,7
"728","NY",2016,"Democrat",2,8
"729","NY",2017,"Democrat",3,8
"730","NY",2018,"Democrat",0,8
"731","NY",2019,"Democrat",3,8
"732","NY",2020,"Democrat",1,8
"733","NY",2021,"Democrat",14,8
"734","OH",2000,"Republican",5,2
"735","OH",2001,"Republican",1,2
"736","OH",2002,"Republican",0,1
"737","OH",2003,"Republican",1,2
"738","OH",2004,"Republican",0,2
"739","OH",2005,"Republican",0,2
"740","OH",2006,"Republican",2,2
"741","OH",2007,"Democrat (2nd Gov. mid-year)",2,2
"742","OH",2008,"Democrat",4,3
"743","OH",2009,"Democrat",6,3
"744","OH",2010,"Democrat",7,3
"745","OH",2011,"Republican (2nd Gov. mid-year)",3,4
"746","OH",2012,"Republican",0,4
"747","OH",2013,"Republican",0,4
"748","OH",2014,"Republican",2,4
"749","OH",2015,"Republican",0,4
"750","OH",2016,"Republican",0,4
"751","OH",2017,"Republican",1,4
"752","OH",2018,"Republican",0,4
"753","OH",2019,"Republican",0,4
"754","OK",2000,"Republican",1,2
"755","OK",2001,"Republican",0,2
"756","OK",2002,"Republican",0,2
"757","OK",2003,"Democrat (2nd Gov. mid-year)",0,2
"758","OK",2004,"Democrat",0,3
"759","OK",2005,"Democrat",1,3
"760","OK",2006,"Democrat",2,3
"761","OK",2007,"Democrat",0,3
"762","OK",2008,"Democrat",2,3
"763","OK",2009,"Democrat",6,4
"764","OK",2010,"Democrat",3,4
"765","OK",2011,"Republican (2nd Gov. mid-year)",4,5
"766","OK",2012,"Republican",2,5
"767","OK",2013,"Republican",0,6
"768","OK",2014,"Republican",2,6
"769","OK",2015,"Republican",0,7
"770","OK",2016,"Republican",0,9
"771","OK",2017,"Republican",0,9
"772","OK",2018,"Republican",0,10
"773","OK",2019,"Republican",1,11
"774","OR",2000,"Democrat",7,20
"775","OR",2001,"Democrat",5,18
"776","OR",2002,"Democrat",2,21
"777","OR",2003,"Democrat",2,20
"778","OR",2004,"Democrat",0,21
"779","OR",2005,"Democrat",3,19
"780","OR",2006,"Democrat",19,23
"781","OR",2007,"Democrat",17,21
"782","OR",2008,"Democrat",8,22
"783","OR",2009,"Democrat",10,24
"784","OR",2010,"Democrat",1,24
"785","OR",2011,"Democrat",1,30
"786","OR",2012,"Democrat",0,31
"787","OR",2013,"Democrat",2,28
"788","OR",2014,"Democrat",0,30
"789","OR",2015,"Democrat",2,29
"790","OR",2016,"Democrat",3,30
"791","OR",2017,"Democrat",0,31
"792","OR",2018,"Democrat",0,31
"793","OR",2019,"Democrat",0,28
"794","OR",2020,"Democrat",1,30
"795","OR",2021,"Democrat",8,27
"796","OR",2022,"Democrat",2,28
"797","OR",2023,"Democrat",4,27
"798","PA",2000,"Republican",3,3
"799","PA",2001,"Republican",0,2
"800","PA",2002,"Republican",5,2
"801","PA",2003,"Democrat (2nd Gov. mid-year)",1,2
"802","PA",2004,"Democrat",2,2
"803","PA",2005,"Democrat",2,2
"804","PA",2006,"Democrat",2,3
"805","PA",2007,"Democrat",0,3
"806","PA",2008,"Democrat",2,3
"807","PA",2009,"Democrat",12,4
"808","PA",2010,"Democrat",8,4
"809","PA",2011,"Republican (2nd Gov. mid-year)",4,5
"810","PA",2012,"Republican",1,5
"811","PA",2013,"Republican",0,5
"812","PA",2014,"Republican",0,5
"813","PA",2015,"Democrat (2nd Gov. mid-year)",2,5
"814","PA",2016,"Democrat",2,5
"815","PA",2017,"Democrat",0,5
"816","PA",2018,"Democrat",0,5
"817","PA",2019,"Democrat",0,5
"818","PA",2020,"Democrat",0,5
"819","PA",2021,"Democrat",9,5
"820","PA",2022,"Democrat",2,5
"821","PA",2023,"Democrat",0,5
"822","RI",2000,"Republican",3,2
"823","RI",2001,"Republican",0,2
"824","RI",2002,"Republican",0,2
"825","RI",2003,"Republican",0,2
"826","RI",2004,"Republican",1,2
"827","RI",2005,"Republican",2,1
"828","RI",2006,"Republican",4,3
"829","RI",2007,"Republican",1,3
"830","RI",2008,"Republican",4,3
"831","RI",2009,"Republican",0,4
"832","RI",2010,"Republican",1,4
"833","RI",2011,"Democrat (2nd Gov. mid-year)",1,4
"834","RI",2012,"Democrat",0,3
"835","RI",2013,"Democrat",3,3
"836","RI",2014,"Democrat",2,4
"837","RI",2015,"Democrat",3,5
"838","RI",2016,"Democrat",1,5
"839","RI",2017,"Democrat",1,5
"840","RI",2018,"Democrat",0,5
"841","RI",2019,"Democrat",0,6
"842","RI",2020,"Democrat",0,7
"843","RI",2021,"Democrat",0,6
"844","SC",2000,"Democrat",0,5
"845","SC",2001,"Democrat",0,4
"846","SC",2002,"Democrat",0,4
"847","SC",2003,"Republican (2nd Gov. mid-year)",0,5
"848","SC",2004,"Republican",0,5
"849","SC",2005,"Republican",0,5
"850","SC",2006,"Republican",12,5
"851","SC",2007,"Republican",4,5
"852","SC",2008,"Republican",2,6
"853","SC",2009,"Republican",4,7
"854","SC",2010,"Republican",4,7
"855","SC",2011,"Republican",2,8
"856","SC",2012,"Republican",1,8
"857","SC",2013,"Republican",1,9
"858","SC",2014,"Republican",2,9
"859","SC",2015,"Republican",1,8
"860","SC",2016,"Republican",0,8
"861","SC",2017,"Republican",1,9
"862","SD",2000,"Republican",0,11
"863","SD",2001,"Republican",0,7
"864","SD",2002,"Republican",0,9
"865","SD",2003,"Republican",0,11
"866","SD",2004,"Republican",0,13
"867","SD",2005,"Republican",0,14
"868","SD",2006,"Republican",2,17
"869","SD",2007,"Republican",2,16
"870","SD",2008,"Republican",5,19
"871","SD",2009,"Republican",1,23
"872","SD",2010,"Republican",4,26
"873","SD",2011,"Republican",0,30
"874","SD",2012,"Republican",2,28
"875","SD",2013,"Republican",1,25
"876","SD",2014,"Republican",0,27
"877","SD",2015,"Republican",0,27
"878","SD",2016,"Republican",0,29
"879","SD",2017,"Republican",0,29
"880","SD",2018,"Republican",0,30
"881","SD",2019,"Republican",0,31
"882","SD",2020,"Republican",0,32
"883","SD",2021,"Republican",1,37
"884","SD",2022,"Republican",0,37
"885","SD",2023,"Republican",1,36
"886","TN",2000,"Republican",1,4
"887","TN",2001,"Republican",0,4
"888","TN",2002,"Republican",0,4
"889","TN",2003,"Democrat (2nd Gov. mid-year)",0,5
"890","TN",2004,"Democrat",0,5
"891","TN",2005,"Democrat",0,5
"892","TN",2006,"Democrat",4,4
"893","TN",2007,"Democrat",0,4
"894","TN",2008,"Democrat",1,5
"895","TN",2009,"Democrat",1,6
"896","TN",2010,"Democrat",2,6
"897","TN",2011,"Republican (2nd Gov. mid-year)",1,6
"898","TN",2012,"Republican",1,6
"899","TN",2013,"Republican",0,7
"900","TN",2014,"Republican",0,7
"901","TN",2015,"Republican",1,7
"902","TN",2016,"Republican",0,6
"903","TN",2017,"Republican",0,6
"904","TN",2018,"Republican",0,7
"905","TN",2019,"Republican",0,6
"906","TX",2000,"Republican",4,1
"907","TX",2001,"Republican",1,1
"908","TX",2002,"Republican",1,1
"909","TX",2003,"Republican",1,1
"910","TX",2004,"Republican",1,1
"911","TX",2005,"Republican",1,1
"912","TX",2006,"Republican",18,1
"913","TX",2007,"Republican",12,2
"914","TX",2008,"Republican",7,2
"915","TX",2009,"Republican",15,2
"916","TX",2010,"Republican",2,2
"917","TX",2011,"Republican",11,3
"918","TX",2012,"Republican",4,3
"919","TX",2013,"Republican",1,3
"920","TX",2014,"Republican",7,3
"921","TX",2015,"Republican",3,3
"922","UT",2000,"Republican",4,1
"923","UT",2001,"Republican",0,1
"924","UT",2002,"Republican",1,1
"925","UT",2003,"Republican",1,1
"926","UT",2004,"Republican",1,1
"927","UT",2005,"Republican",0,1
"928","UT",2006,"Republican",3,1
"929","UT",2007,"Republican",7,1
"930","UT",2008,"Republican",1,2
"931","UT",2009,"Republican",2,2
"932","UT",2010,"Republican",0,2
"933","UT",2011,"Republican",0,2
"934","UT",2012,"Republican",1,2
"935","UT",2013,"Republican",2,2
"936","UT",2014,"Republican",0,2
"937","UT",2015,"Republican",0,3
"938","UT",2016,"Republican",0,4
"939","UT",2017,"Republican",0,4
"940","UT",2018,"Republican",0,4
"941","UT",2019,"Republican",0,4
"942","UT",2020,"Republican",0,4
"943","UT",2021,"Republican",3,4
"944","VA",2000,"Democrat (2nd Gov. mid-year)",2,5
"945","VA",2001,"Democrat (2nd Gov. mid-year)",1,4
"946","VA",2002,"Democrat (2nd Gov. mid-year)",0,3
"947","VA",2003,"Democrat",1,4
"948","VA",2004,"Democrat",0,4
"949","VA",2005,"Democrat",1,5
"950","VA",2006,"Democrat",2,5
"951","VA",2007,"Democrat",3,5
"952","VA",2008,"Democrat",2,5
"953","VA",2009,"Democrat",1,6
"954","VA",2010,"Republican (2nd Gov. mid-year)",5,5
"955","VA",2011,"Republican (2nd Gov. mid-year)",4,5
"956","VA",2012,"Republican (2nd Gov. mid-year)",1,6
"957","VA",2013,"Republican (2nd Gov. mid-year)",0,6
"958","VA",2014,"Democrat (2nd Gov. mid-year)",2,7
"959","VA",2015,"Independent (2nd Gov. mid-year)",5,7
"960","VA",2016,"Independent (2nd Gov. mid-year)",3,7
"961","VA",2017,"Independent (2nd Gov. mid-year)",0,7
"962","VA",2018,"Democrat (2nd Gov. mid-year)",0,7
"963","VA",2019,"Democrat (2nd Gov. mid-year)",0,7
"964","VA",2020,"Democrat",3,7
"965","VA",2021,"Democrat",3,7
"966","VA",2022,"Democrat",3,8
"967","VT",2000,"Democrat",3,9
"968","VT",2001,"Democrat",0,8
"969","VT",2002,"Democrat",1,11
"970","VT",2003,"Republican (2nd Gov. mid-year)",0,11
"971","VT",2004,"Republican",1,9
"972","VT",2005,"Republican",1,11
"973","VT",2006,"Republican",8,12
"974","VT",2007,"Republican",1,10
"975","VT",2008,"Republican",1,14
"976","VT",2009,"Republican",5,16
"977","VT",2010,"Republican",3,17
"978","VT",2011,"Democrat (2nd Gov. mid-year)",0,16
"979","VT",2012,"Democrat",2,17
"980","VT",2013,"Democrat",0,20
"981","VT",2014,"Democrat",2,19
"982","VT",2015,"Democrat",1,24
"983","VT",2016,"Democrat",0,23
"984","VT",2017,"Democrat",0,23
"985","WA",2000,"Democrat",4,22
"986","WA",2001,"Democrat",2,17
"987","WA",2002,"Democrat",2,25
"988","WA",2003,"Democrat",0,24
"989","WA",2004,"Democrat",0,23
"990","WA",2005,"Democrat",1,22
"991","WA",2006,"Democrat",28,25
"992","WA",2007,"Democrat",7,23
"993","WA",2008,"Democrat",4,24
"994","WA",2009,"Democrat",5,24
"995","WA",2010,"Democrat",5,24
"996","WA",2011,"Democrat",2,31
"997","WA",2012,"Democrat",0,30
"998","WA",2013,"Democrat",0,27
"999","WA",2014,"Democrat",2,28
"1000","WA",2015,"Democrat",6,27
"1001","WA",2016,"Democrat",4,27
"1002","WA",2017,"Democrat",0,27
"1003","WA",2018,"Democrat",0,28
"1004","WA",2019,"Democrat",0,23
"1005","WA",2020,"Democrat",0,29
"1006","WA",2021,"Democrat",4,26
"1007","WA",2022,"Democrat",1,27
"1008","WA",2023,"Democrat",2,23
"1009","WI",2000,"Republican",8,5
"1010","WI",2001,"Republican",0,6
"1011","WI",2002,"Republican",1,5
"1012","WI",2003,"Democrat (2nd Gov. mid-year)",1,6
"1013","WI",2004,"Democrat",0,5
"1014","WI",2005,"Democrat",0,7
"1015","WI",2006,"Democrat",11,7
"1016","WI",2007,"Democrat",2,7
"1017","WI",2008,"Democrat",0,8
"1018","WI",2009,"Democrat",6,8
"1019","WI",2010,"Democrat",2,9
"1020","WI",2011,"Republican (2nd Gov. mid-year)",3,9
"1021","WI",2012,"Republican",2,9
"1022","WI",2013,"Republican",0,9
"1023","WI",2014,"Republican",0,9
"1024","WI",2015,"Republican",1,10
"1025","WI",2016,"Republican",0,10
"1026","WI",2017,"Republican",0,10
"1027","WI",2018,"Republican",0,10
"1028","WI",2019,"Republican",1,10
"1029","WV",2000,"Republican",0,1
"1030","WV",2001,"Democrat (2nd Gov. mid-year)",2,1
"1031","WV",2002,"Democrat",0,1
"1032","WV",2003,"Democrat",0,2
"1033","WV",2004,"Democrat",0,2
"1034","WV",2005,"Democrat",0,2
"1035","WV",2006,"Democrat",1,2
"1036","WV",2007,"Democrat",1,2
"1037","WV",2008,"Democrat",0,3
"1038","WV",2009,"Democrat",0,5
"1039","WV",2010,"Democrat",1,5
"1040","WV",2015,"Democrat",0,4
"1041","WV",2016,"Democrat",0,4
"1042","WV",2017,"Republican (2nd Gov. mid-year)",0,4
"1043","WV",2018,"Republican",0,4
"1044","WV",2019,"Republican",0,4
"1045","WV",2020,"Republican",0,3
"1046","WV",2021,"Republican",0,3
"1047","WV",2022,"Republican",0,3
"1048","WV",2023,"Republican",0,3
"1049","WY",2000,"Republican",0,2
"1050","WY",2001,"Republican",0,1
"1051","WY",2002,"Republican",0,1
"1052","WY",2003,"Democrat (2nd Gov. mid-year)",2,1
"1053","WY",2004,"Democrat",0,1
"1054","WY",2005,"Democrat",0,2
"1055","WY",2006,"Democrat",1,2
"1056","WY",2007,"Democrat",5,2
"1057","WY",2008,"Democrat",2,2
"1058","WY",2009,"Democrat",1,3
"1059","WY",2010,"Democrat",0,4
"1060","WY",2011,"Republican (2nd Gov. mid-year)",2,5
"1061","WY",2012,"Republican",0,4
"1062","WY",2013,"Republican",0,4
"1063","WY",2014,"Republican",0,5
"1064","WY",2015,"Republican",0,5
"1065","WY",2016,"Republican",0,6
"1066","WY",2017,"Republican",0,5
"1067","WY",2018,"Republican",0,5
"1068","WY",2019,"Republican",1,5
