"","State","Year","Political_Party"
"1","AK",2002,"Republican to Democratic"
"2","AK",2002,"Republican to Democratic"
"3","AK",2014,"Independent to Republican"
"4","AK",2014,"Independent to Republican"
"5","AL",2003,"Republican to Democratic"
"6","AL",2003,"Republican to Democratic"
"7","AR",2007,"Democrat to Republican"
"8","AR",2007,"Democrat to Republican"
"9","AR",2015,"Republican to Democrat"
"10","AR",2015,"Republican to Democrat"
"11","AZ",2003,"Democrat to Republican"
"12","AZ",2003,"Democrat to Republican"
"13","AZ",2004,"Democrat to Republican"
"14","AZ",2004,"Democrat to Republican"
"15","AZ",2005,"Democrat to Republican"
"16","AZ",2005,"Democrat to Republican"
"17","AZ",2006,"Republican to Democrat"
"18","AZ",2006,"Republican to Democrat"
"19","AZ",2007,"Republican to Democrat"
"20","AZ",2007,"Republican to Democrat"
"21","AZ",2008,"Republican to Democrat"
"22","AZ",2008,"Republican to Democrat"
"23","AZ",2009,"Republican to Democrat"
"24","AZ",2009,"Republican to Democrat"
"25","CA",2003,"Republican to Democrat"
"26","CA",2003,"Republican to Democrat"
"27","CA",2011,"Democrat to Republican"
"28","CA",2011,"Democrat to Republican"
"29","CO",2007,"Democratic to Republican"
"30","CO",2007,"Democratic to Republican"
"31","CT",2011,"Democrat to Republican"
"32","CT",2011,"Democrat to Republican"
"33","DE",2017,"Democratic to Democrat"
"34","DE",2017,"Democratic to Democrat"
"35","FL",1999,"Republican to Democratic"
"36","FL",1999,"Republican to Democratic"
"37","GA",2003,"Republican to Democratic"
"38","GA",2003,"Republican to Democratic"
"39","HI",2002,"Republican to Democrat"
"40","HI",2002,"Republican to Democrat"
"41","HI",2010,"Democrat to Republican"
"42","HI",2010,"Democrat to Republican"
"43","HI",2014,"Democratic to Democrat"
"44","HI",2014,"Democratic to Democrat"
"45","IA",2011,"Republican to Democratic"
"46","IA",2011,"Republican to Democratic"
"47","IL",2003,"Democrat to Republican"
"48","IL",2003,"Democrat to Republican"
"49","IL",2015,"Republican to Democrat"
"50","IL",2015,"Republican to Democrat"
"51","IN",2005,"Republican to Democrat"
"52","IN",2005,"Republican to Democrat"
"53","KS",2003,"Democrat to Republican"
"54","KS",2003,"Democrat to Republican"
"55","KS",2011,"Republican to Democrat"
