State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MA,"46,135","46,881","47,937","47,754","49,424","50,963","52,491","52,573","56,632","58,415","59,709","56,260","53,316","52,593","53,953","50,406","57,090","60,390","66,192","71,256","71,392","70,179","64,869","76,623","62,946","63,608","66,884","58,107","60,369","63,995","56,528","58,748","61,424","63,660","66,997","66,549","70,193","65,292","59,419","58,519","62,221","43,138","40,887","43,196","45,190","40,131","52,538","54,678","53,250","61,522","68,744","69,777","66,453","72,745","74,511","74,530","76,017","73,642","75,874","75,036","71,436","75,370","80,700","81,559"
MD,"28,471","27,478","27,796","28,595","29,601","30,986","32,846","36,000","36,514","35,957","38,278","36,736","40,217","39,956","38,538","39,670","41,835","45,399","47,194","51,121","36,966","35,409","42,156","39,536","45,874","44,432","41,453","36,458","37,065","42,998","34,476","31,790","34,027","37,825","39,116","42,126","49,203","42,372","40,856","41,184","42,360","25,097","29,913","36,406","36,931","37,447","46,032","47,863","47,797","55,017","61,545","63,326","59,562","65,478","64,310","58,890","59,011","60,690","64,791","57,955","48,564","52,732","51,255","53,711"
ME,"38,883","37,729","37,615","38,725","38,510","37,108","38,863","40,369","41,601","42,215","39,213","38,020","41,382","43,051","43,797","41,793","48,561","51,373","55,242","57,535","104,264","109,699","106,183","119,381","118,334","117,108","101,620","97,622","100,455","130,239","123,037","130,449","134,693","135,766","132,498","137,743","138,415","137,018","126,027","133,593","138,647","127,845","121,681","111,054","114,130","133,157","125,205","131,781","157,289","124,976","136,657","137,486","134,696","140,106","135,221","140,477","121,928","121,133","122,829","120,891","98,142","95,141","93,867","89,444"
MI,"44,186","42,271","41,564","41,693","41,873","43,091","44,084","42,707","42,959","43,319","42,244","41,408","43,712","39,873","42,275","39,694","45,173","48,180","58,730","64,810","94,669","100,139","100,602","113,600","107,234","107,203","110,933","112,789","118,420","110,599","90,787","98,544","100,867","93,903","97,443","98,922","111,880","104,363","99,402","101,323","108,675","88,207","88,202","103,305","107,956","121,209","119,949","132,229","148,532","138,933","149,827","164,573","164,813","182,543","187,538","201,650","197,316","197,415","205,713","201,965","183,360","194,075","206,811","198,459"
MN,"28,441","27,142","27,479","26,381","26,549","27,094","26,728","26,329","26,795","27,125","26,493","26,846","28,439","29,079","29,445","30,537","31,541","32,020","42,722","47,583","49,308","50,015","51,883","55,050","59,197","61,907","58,838","54,444","56,764","58,607","54,979","58,373","65,245","70,211","73,382","77,675","76,729","82,546","80,365","87,458","93,403","96,084","92,437","95,537","104,621","108,275","112,721","131,926","146,849","166,637","189,237","194,486","193,188","191,780","211,351","215,508","217,542","217,590","223,380","224,857","206,259","216,113","229,769","223,864"
MO,"36,110","36,095","33,947","30,636","28,979","29,755","28,835","27,056","29,769","29,508","26,776","25,438","25,090","29,800","31,990","31,465","34,386","34,792","42,593","48,307","26,988","25,816","32,293","31,899","35,981","41,483","35,386","30,842","33,753","30,156","27,826","24,654","26,821","30,680","25,653","25,012","22,717","20,496","22,132","21,279","19,220","25,495","28,675","30,291","34,335","46,956","42,120","54,207","69,586","77,206","84,991","81,011","72,318","83,153","86,678","79,087","79,160","82,699","87,913","91,830","77,057","88,879","95,312","90,412"
MS,"46,565","45,532","44,673","39,154","38,448","37,759","37,816","34,261","35,452","34,609","33,527","32,841","32,432","32,195","31,279","31,152","34,819","36,230","37,576","37,510","38,097","41,070","44,643","45,071","50,468","50,892","49,196","45,439","47,412","76,403","84,868","89,510","90,830","92,918","95,203","94,383","85,759","84,291","64,175","65,132","75,389","56,104","49,672","45,371","61,302","62,966","63,673","64,626","50,484","56,883","74,801","75,706","88,312","76,269","77,940","73,695","76,228","70,825","70,844","66,986","65,069","66,134","66,614","67,305"
MT,"27,312","29,514","29,088","27,929","31,292","36,437","34,729","37,055","38,298","39,671","36,465","39,457","38,549","32,173","38,210","40,908","49,489","37,918","50,828","47,605","45,088","51,267","49,784","53,494","52,381","49,266","57,423","48,477","46,790","43,593","48,460","58,187","38,500","42,724","38,106","53,342","62,959","62,094","52,849","62,836","48,460","34,881","44,049","42,039","43,153","51,745","54,574","55,767","57,184","50,888","51,579","56,107","51,203","48,259","55,608","59,324","61,412","64,575","69,952","65,468","59,812","56,334","60,644","58,470"
NC,"90,780","86,520","88,160","85,633","89,520","85,689","83,671","83,266","84,154","84,635","80,822","86,337","90,905","93,161","91,169","90,483","97,627","109,436","121,076","136,690","97,637","87,649","105,279","106,003","115,382","108,761","96,382","99,145","95,315","118,549","121,053","96,609","119,993","123,182","138,184","130,716","132,874","129,323","124,075","117,528","118,207","113,930","107,219","140,545","111,793","112,140","115,472","98,912","148,314","147,739","160,129","165,810","164,772","185,881","177,290","171,808","177,504","185,491","195,967","198,559","202,724","196,973","198,165","186,804"
ND,"4,090","5,238","4,815","5,429","6,775","8,854","6,914","9,804","8,879","10,396","9,989","11,424","10,945","8,514","9,734","11,868","11,636","7,331","10,878","9,896","11,023","10,128","11,878","11,502","12,221","11,942","12,655","11,163","10,839","10,923","9,193","9,772","9,616","8,499","10,675","12,956","14,272","15,086","11,747","12,906","11,741","10,274","10,973","12,222","12,481","12,453","13,202","19,483","24,181","35,499","44,774","52,447","51,186","51,321","56,211","58,246","66,368","84,388","83,349","84,942","89,718","92,653","96,024","92,154"
