State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SC,"470,644","486,981","518,785","540,390","538,601","533,177","572,958","579,648","630,476","672,012","718,023","749,231","801,954","852,344","821,219","804,343","929,387","972,082","959,296","950,123","962,593","967,265","929,981","959,336","1,023,171","1,035,203","1,097,582","1,139,526","1,201,940","1,202,893","1,250,119","1,275,640","1,291,013","1,351,188","1,350,728","1,405,544","1,445,918","1,495,020","1,538,769","1,557,091","1,604,585","1,555,221","1,593,685","1,585,456","1,697,642","1,667,434","1,683,303","1,662,874","1,631,932","1,561,124","1,652,727","1,612,538","1,565,404","1,585,737","1,630,494","1,649,793","1,646,697","1,637,042","1,656,463","1,621,169","1,507,922","1,604,086","1,628,035","1,603,946"
SD,"126,329","128,938","133,739","137,535","140,792","136,825","143,217","142,214","149,953","156,092","164,997","166,139","175,091","172,844","168,036","176,753","190,485","193,013","200,780","199,907","185,695","174,195","185,559","179,181","182,857","189,618","189,724","190,735","201,296","209,498","192,425","189,426","194,272","214,317","204,684","204,588","209,718","204,290","206,384","212,078","226,359","231,498","244,625","249,667","262,850","283,354","286,489","308,666","330,909","330,443","334,485","319,103","324,068","347,092","344,542","344,341","337,367","344,438","353,944","351,091","338,987","348,360","353,862","347,163"
TN,"901,868","918,819","952,585","1,002,040","1,027,256","1,073,130","1,169,002","1,168,508","1,222,239","1,272,904","1,299,734","1,304,583","1,407,370","1,544,553","1,500,823","1,530,956","1,641,347","1,718,508","1,692,164","1,730,672","1,656,048","1,630,754","1,541,882","1,582,505","1,664,445","1,650,687","1,639,259","1,660,819","1,731,416","1,772,389","1,730,495","1,722,162","1,775,827","1,815,778","1,845,442","1,882,763","1,974,588","1,960,857","2,043,128","2,103,753","2,150,751","2,158,909","2,174,381","2,165,119","2,208,080","2,272,899","2,273,635","2,303,132","2,235,386","2,010,131","2,184,446","2,115,408","2,010,247","2,041,771","2,127,364","2,098,448","2,140,236","2,068,053","2,143,282","2,093,393","1,940,366","2,100,903","2,106,213","2,058,049"
TX,"4,360,558","4,390,700","4,574,179","4,826,435","4,940,057","5,130,088","5,473,345","5,780,021","6,168,197","6,536,713","6,800,662","7,100,513","7,484,526","8,104,240","7,935,781","7,353,715","7,688,266","8,351,949","8,780,868","9,148,063","9,217,160","8,985,609","8,273,319","8,192,171","8,735,160","8,824,053","8,816,504","9,079,399","9,671,414","9,919,203","10,079,993","10,080,020","10,236,320","10,339,357","10,653,346","10,800,158","11,572,187","11,972,410","12,151,583","11,778,877","12,133,169","11,927,025","12,216,726","12,006,763","12,047,529","11,505,194","11,632,230","11,711,410","11,153,070","10,745,559","11,418,060","11,623,121","11,650,027","12,388,867","12,355,966","12,469,454","12,617,682","12,739,711","13,539,508","13,722,915","12,981,013","13,720,661","13,829,881","14,137,451"
UT,"297,816","295,102","304,207","305,867","328,529","334,068","345,393","339,353","359,857","389,180","390,387","408,040","420,848","450,046","464,636","471,087","501,641","478,962","501,158","516,471","494,529","467,798","454,466","477,021","491,118","488,948","459,147","452,427","517,229","526,248","535,789","564,864","551,440","575,833","586,381","635,710","664,944","678,299","701,774","693,588","740,298","710,796","690,668","701,636","732,464","757,644","775,083","778,099","764,169","736,713","746,590","780,468","777,194","815,970","786,800","789,707","791,464","801,129","821,269","833,570","803,893","822,925","851,390","853,951"
VA,"832,709","834,806","861,694","917,827","945,535","1,018,832","1,089,208","1,105,033","1,164,157","1,198,647","1,241,013","1,281,610","1,334,357","1,392,677","1,334,947","1,310,844","1,397,442","1,450,021","1,470,097","1,523,603","1,485,275","1,469,642","1,446,464","1,498,929","1,580,295","1,619,492","1,700,064","1,797,316","1,877,896","1,909,264","1,947,533","1,953,955","1,982,330","2,056,463","2,081,090","2,146,979","2,185,166","2,186,090","2,224,990","2,286,540","2,392,470","2,322,159","2,345,733","2,414,114","2,540,898","2,616,525","2,555,818","2,616,980","2,514,658","2,396,260","2,498,119","2,378,679","2,319,180","2,390,087","2,445,751","2,407,419","2,385,837","2,363,063","2,454,395","2,422,690","2,239,523","2,388,988","2,449,868","2,435,265"
VT,"66,721","70,058","72,746","72,658","70,042","80,804","88,469","91,481","97,423","102,983","109,479","112,832","119,600","122,307","112,344","110,238","127,498","126,197","130,588","127,700","121,597","116,913","110,606","118,391","128,061","130,508","124,431","133,973","141,384","138,924","120,223","128,363","134,610","132,284","132,305","129,962","135,643","141,458","131,927","131,361","143,500","144,411","143,803","146,619","155,954","154,552","151,182","151,660","140,092","151,042","150,027","145,839","126,929","134,383","137,285","136,341","130,462","129,063","133,191","132,716","112,635","115,518","116,167","113,104"
WA,"765,416","781,340","815,155","856,629","914,648","946,205","1,009,305","1,055,494","1,154,184","1,230,966","1,232,959","1,257,977","1,393,380","1,434,372","1,418,747","1,387,483","1,439,846","1,475,954","1,551,259","1,601,513","1,570,553","1,690,429","1,586,643","1,538,460","1,644,647","1,656,516","1,690,106","1,752,210","1,893,773","1,945,568","1,469,535","1,455,784","1,629,613","1,636,746","1,639,485","1,584,581","1,580,328","1,588,049","1,687,210","1,702,632","1,702,888","1,647,875","1,439,872","1,455,598","1,506,656","1,531,850","1,573,356","1,581,440","1,566,324","1,549,202","1,543,686","1,478,475","1,486,927","1,551,849","1,530,291","1,563,625","1,636,229","1,635,421","1,627,018","1,702,185","1,419,318","1,525,644","1,566,242","1,602,662"
WI,"832,218","854,807","894,005","917,225","950,639","1,003,599","1,065,011","1,106,590","1,153,728","1,214,670","1,255,789","1,257,505","1,252,105","1,318,780","1,301,845","1,301,982","1,335,863","1,408,203","1,464,421","1,432,035","1,427,550","1,386,192","1,362,563","1,374,286","1,440,496","1,459,152","1,381,904","1,368,835","1,478,397","1,478,803","1,468,337","1,505,945","1,505,076","1,567,464","1,614,589","1,677,031","1,736,202","1,741,271","1,734,589","1,825,284","1,861,007","1,835,152","1,869,261","1,849,371","1,872,654","1,940,762","1,849,964","1,884,986","1,874,261","1,741,700","1,783,684","1,767,437","1,710,104","1,804,267","1,852,899","1,784,733","1,765,872","1,782,370","1,861,689","1,812,444","1,660,283","1,721,207","1,762,186","1,656,177"
WV,"600,357","630,635","636,728","671,815","709,893","733,287","752,206","717,477","785,300","772,288","772,652","755,096","804,673","821,736","814,750","765,574","802,869","800,616","785,151","799,019","763,814","745,647","686,216","653,467","691,602","642,175","645,031","660,813","707,825","727,047","696,077","666,303","679,096","702,357","728,995","731,109","702,811","702,526","729,892","713,456","732,445","726,547","751,113","705,288","728,468","731,143","754,206","784,759","770,619","697,144","743,395","729,519","721,739","740,591","771,980","758,971","752,461","742,075","818,371","817,732","786,352","835,873","829,676","832,806"
WY,"140,236","153,279","171,561","161,170","161,238","169,369","176,810","200,843","221,358","245,717","251,486","264,193","282,588","279,112","273,615","271,784","295,007","320,906","348,783","371,915","355,525","346,244","354,790","319,981","341,363","348,098","327,001","356,005","363,842","373,500","397,940","386,520","420,166","405,233","406,194","401,562","412,595","411,936","418,381","422,871","425,392","435,687","436,429","459,188","448,135","453,595","474,497","520,180","533,990","516,461","530,410","543,253","539,195","529,026","524,393","496,831","492,957","522,657","546,375","534,214","483,752","481,123","494,020","499,766"
US,"43,935,276","44,557,699","46,543,126","48,409,682","50,494,169","52,577,565","55,573,431","57,335,511","60,820,699","63,791,447","65,939,114","67,255,613","70,744,691","73,788,463","71,758,674","69,810,078","73,944,199","76,351,470","77,987,575","78,844,092","76,064,555","74,195,857","70,772,226","70,452,934","74,177,235","74,340,863","74,451,441","77,112,925","81,077,213","82,703,379","82,277,974","82,212,657","83,842,847","85,220,279","87,080,163","88,732,046","91,474,194","92,105,715","92,614,839","94,212,808","96,686,060","94,391,208","95,582,476","95,806,580","98,044,608","98,108,764","97,231,383","98,987,749","96,657,598","91,630,574","95,129,103","93,969,435","91,664,394","94,234,417","95,322,209","94,462,877","94,072,893","93,892,854","97,391,985","96,564,778","88,857,658","93,350,300","94,831,564","93,557,489"
