State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GA,"681,860","686,173","742,616","781,362","833,715","890,335","969,858","1,030,780","1,120,406","1,189,279","1,240,557","1,305,275","1,391,743","1,510,176","1,445,621","1,438,784","1,504,233","1,589,996","1,634,584","1,682,673","1,668,806","1,648,041","1,623,407","1,688,045","1,813,511","1,874,526","1,891,913","1,995,372","2,091,376","2,160,879","2,188,433","2,176,941","2,217,975","2,373,461","2,395,160","2,578,340","2,726,850","2,709,444","2,744,268","2,779,826","2,901,427","2,797,716","2,912,009","2,923,139","3,065,310","3,080,403","3,067,394","3,061,401","2,926,774","2,884,852","3,117,670","2,999,215","2,817,024","2,868,107","2,940,286","2,945,148","2,910,005","2,880,666","2,946,672","2,903,162","2,656,941","2,763,082","2,842,621","2,838,817"
HI,"94,640","113,578","108,141","114,103","122,620","129,824","144,691","163,104","182,141","190,159","196,184","211,042","217,426","223,651","211,458","213,754","219,397","232,732","236,388","255,980","261,744","236,151","217,460","220,552","231,705","247,820","244,655","248,796","289,021","309,045","320,661","294,400","305,433","281,060","296,649","294,338","280,503","270,917","270,821","267,015","270,704","267,970","283,505","299,086","312,623","322,560","324,507","334,047","272,843","272,233","293,799","297,688","290,679","293,465","285,390","288,390","289,064","295,483","294,240","296,556","219,357","255,846","270,303","272,874"
IA,"589,195","586,832","612,223","630,303","654,469","680,139","683,755","730,492","764,778","802,579","831,027","841,352","883,091","941,425","925,213","917,581","956,316","961,845","938,650","1,015,722","959,968","945,569","941,125","921,964","910,783","875,272","878,360","886,824","960,660","918,981","941,873","978,008","968,775","1,033,373","1,062,480","1,100,958","1,142,304","1,129,820","1,141,438","1,188,691","1,186,019","1,157,637","1,183,045","1,179,269","1,232,893","1,259,846","1,281,045","1,354,377","1,412,115","1,398,438","1,441,943","1,441,350","1,358,008","1,430,460","1,444,090","1,404,875","1,413,694","1,450,807","1,520,994","1,503,136","1,349,801","1,385,940","1,426,881","1,405,284"
ID,"181,977","193,392","201,192","203,722","220,220","224,114","234,465","254,143","274,456","273,043","283,123","297,493","319,731","323,593","331,607","343,621","347,893","355,486","357,228","370,680","334,792","347,367","333,178","327,933","330,482","340,363","327,985","333,521","354,967","386,190","340,787","350,770","371,064","366,600","393,148","386,129","400,574","395,691","415,600","434,818","466,227","449,829","432,653","410,104","442,107","452,949","447,801","475,593","468,048","428,088","455,512","421,540","427,551","455,268","444,839","467,796","463,480","468,777","467,171","485,120","462,867","490,373","512,667","505,344"
IL,"2,470,864","2,504,146","2,595,952","2,660,868","2,786,619","2,957,154","3,115,310","3,235,878","3,371,320","3,545,323","3,606,919","3,626,688","3,833,254","3,922,291","3,848,522","3,756,882","3,924,044","4,024,163","4,103,957","3,956,004","3,677,167","3,463,727","3,295,717","3,363,793","3,401,645","3,346,836","3,325,624","3,393,980","3,633,357","3,536,169","3,611,525","3,677,262","3,649,626","3,752,683","3,772,943","3,885,782","3,969,450","3,937,179","3,852,291","4,023,131","4,028,341","3,904,632","3,919,273","3,944,694","3,992,115","4,138,872","3,988,635","4,075,892","4,070,403","3,841,146","3,957,104","3,934,122","3,803,647","3,962,061","4,038,082","3,870,603","3,874,872","3,832,517","3,961,761","3,887,683","3,549,235","3,636,248","3,676,428","3,486,989"
IN,"1,503,173","1,522,771","1,549,590","1,604,646","1,682,470","1,762,170","1,882,381","1,909,401","2,000,493","2,107,983","2,171,749","2,184,587","2,383,665","2,421,144","2,371,441","2,314,295","2,349,341","2,437,182","2,477,026","2,527,022","2,343,506","2,306,266","2,114,799","2,128,513","2,210,675","2,245,045","2,204,836","2,330,405","2,439,515","2,461,663","2,486,534","2,468,749","2,456,593","2,566,462","2,553,094","2,618,357","2,700,030","2,679,932","2,670,088","2,780,767","2,863,912","2,767,007","2,853,599","2,934,671","2,927,611","2,921,512","2,856,693","2,955,502","2,912,828","2,700,448","2,831,825","2,801,444","2,714,667","2,839,736","2,881,921","2,786,382","2,733,573","2,630,940","2,769,007","2,732,665","2,502,122","2,649,708","2,622,566","2,555,897"
KS,"620,381","606,876","626,981","628,491","643,831","709,644","749,649","707,552","778,395","821,929","856,728","889,706","942,729","947,894","938,726","903,571","952,921","965,754","1,017,039","1,112,522","1,001,634","927,844","921,758","891,881","993,087","990,991","952,845","997,525","1,053,533","1,023,345","1,074,330","1,070,386","1,057,319","1,085,811","1,111,782","1,078,330","1,109,621","1,101,084","1,088,778","1,108,236","1,116,017","1,063,512","1,096,710","1,137,937","1,119,126","1,064,258","1,089,261","1,150,829","1,108,904","1,072,050","1,090,138","1,074,483","1,036,924","1,045,632","1,076,152","1,041,248","1,018,002","985,787","1,044,236","1,031,443","970,610","968,269","1,002,713","973,356"
KY,"779,353","775,993","793,930","848,634","851,579","861,120","870,415","916,069","975,596","1,032,370","1,065,453","1,074,826","1,157,521","1,191,967","1,178,145","1,221,092","1,344,030","1,370,843","1,351,921","1,384,575","1,321,263","1,253,701","1,212,027","1,223,762","1,322,041","1,285,182","1,260,043","1,303,513","1,385,250","1,464,594","1,469,560","1,491,458","1,556,815","1,599,201","1,645,098","1,719,009","1,737,381","1,746,301","1,705,476","1,798,735","1,787,820","1,807,989","1,959,802","1,895,859","1,971,977","1,997,945","1,992,266","2,031,787","1,993,954","1,906,534","1,984,909","1,915,801","1,881,539","1,820,409","1,761,788","1,710,943","1,684,010","1,631,641","1,716,399","1,683,555","1,542,617","1,646,871","1,671,827","1,611,130"
LA,"1,486,803","1,548,642","1,560,868","1,728,650","1,846,112","1,810,100","1,949,810","2,207,245","2,390,970","2,665,151","2,799,666","2,856,667","3,040,208","3,274,473","3,359,124","3,063,639","3,492,740","3,900,298","4,047,994","3,996,684","3,859,310","3,911,456","3,577,091","3,369,520","3,513,860","3,286,756","3,447,675","3,520,246","3,564,281","3,712,321","3,699,880","3,703,937","3,813,285","3,875,810","4,014,247","4,058,533","4,227,956","4,319,442","4,040,905","4,021,156","4,327,069","3,818,697","3,952,583","3,804,200","4,005,138","3,849,720","4,021,734","4,275,672","4,215,291","4,021,054","4,111,598","4,124,451","3,995,750","3,904,336","3,922,318","3,896,246","4,011,551","4,180,645","4,219,960","4,257,243","4,178,183","4,257,173","4,272,592","4,166,787"
MA,"1,033,978","1,058,961","1,089,545","1,061,964","1,097,307","1,220,575","1,223,415","1,298,002","1,345,380","1,370,926","1,432,704","1,459,375","1,511,923","1,546,784","1,437,544","1,383,944","1,464,965","1,460,758","1,439,688","1,276,603","1,215,036","1,185,369","1,197,842","1,191,163","1,254,053","1,279,641","1,346,945","1,372,951","1,398,947","1,424,934","1,405,515","1,365,471","1,433,608","1,435,011","1,440,816","1,425,706","1,443,362","1,443,663","1,418,374","1,436,226","1,523,680","1,507,350","1,518,565","1,486,093","1,485,410","1,491,401","1,417,140","1,447,013","1,421,299","1,360,232","1,417,330","1,389,041","1,349,790","1,414,648","1,420,461","1,436,590","1,388,509","1,386,997","1,415,642","1,414,088","1,218,298","1,281,157","1,323,388","1,282,732"
