State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,924,"1,098","1,098","1,104","1,483","1,799","1,915","1,945","1,775","1,862","1,765","1,698","1,643"
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,449,"1,019","1,703","2,411","3,026","3,575","3,744","4,421","5,688","7,960","8,135","8,509","8,172","8,681","9,268","7,980"
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,6,6,8,9,482,"1,024","1,229","1,557","3,861","9,552","13,198","16,367","16,022","17,713","18,620","19,877","22,980","26,262","31,224","28,294"
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,135,194,170,184,501,"1,657","2,472","3,061","3,091","3,336","2,772","5,399","7,011","9,004","14,858","17,241","16,349","22,948","27,897","28,179","33,066","33,365","33,893","38,000","36,555","37,412","40,368","41,870","51,491","49,127"
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,"1,704","3,158","4,020","4,247","3,981","3,859","3,525","3,828","6,934","9,672","9,751","11,413","22,295","25,674","23,117"
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,488","1,692","2,024","2,801","3,174","4,317","4,305","5,987","6,735","6,704","7,302","7,352","7,347","8,098","10,436","11,849","13,723","15,548"
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"1,606","1,852","1,785","1,864","1,756","1,866","1,805"
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,732,752,"1,261","2,118","5,778","10,228","13,974","17,864","17,997","18,831","21,163","22,197","27,883","38,758","36,621","38,259","46,519","50,959","55,445","49,395"
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,130,131,330,891,740,731,"1,306","1,439","3,586","4,380","6,148","9,338","10,852","12,960","17,347","18,934","24,604","31,102","32,728","43,039","40,416"
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,213,258,226,712,"1,328","1,404","1,445","1,475","1,404","1,388","1,479","1,791","1,720","1,646","1,404"
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,70,71,71,43,36,39,37,78,73,71,77,77,75,68,67,74,63
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,"1,752","2,711","4,284","4,754","5,605","5,277","6,251","7,181","7,594","7,484","7,761","7,131","12,302","15,677","20,784","23,516","24,649","36,101","49,251","50,888"
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,855,"1,024","1,057","1,173","1,233","1,066","1,124","1,108","1,160","1,077",994
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,70,279,141,397,351,"2,236","2,844","4,267","7,733","8,858","9,649","10,207","12,077","13,540","13,569","13,444","14,112","13,642","15,203","15,428","14,182","15,584","16,377"
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49,50,51,48,43,677,"3,362","3,910","3,935","4,105","4,249","5,420","5,971","6,970","7,811","8,826","10,761","9,620"
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,"1,954","2,893","5,843","6,309","8,046","9,206","12,993","19,125","27,834","38,086","40,728","47,873","68,476","80,519","93,278","98,976","100,371","111,028","128,130","126,286"
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,67,289,228,302,"1,283","1,514","2,112","2,505","3,177","4,255","8,787","11,839","13,375","16,294","21,644","25,439","25,779","22,627","24,420","21,245","25,411","22,413","29,948","31,990","27,805","30,550"
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,197,381,"1,045",970,"1,232","1,604","2,489","3,667","6,326","6,123","7,263","11,437","12,163","11,439","11,861","12,251","12,170","11,091","12,789","11,789","12,188","11,117"
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,5,9,34,34,91,508,541,704,733,587,714,576
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,151,538,539,508,512,495,"1,436","4,680","9,104","8,031","9,170","7,971","8,522","12,673","10,094","9,673","9,517","18,917","31,822","35,127","31,989"
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,13,11,186,170,171,177,138,181,162,159,174,156,129,148,140,130,134,96,51,55
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,277,273,"1,092","1,679","4,052","9,063","8,768","10,706","14,457","22,760","30,730","55,360","68,329","89,570","104,230","109,915","122,401","136,497","152,971","196,295","228,812","258,290","285,313","315,409","339,406","391,653","408,946"
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,544,"1,527","1,954","2,402","1,842","2,252","2,136","2,806","2,928","2,711","2,793","2,739","2,816","2,468","2,332"
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,174,160
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,42,41,35,37,39,39,36,36,35,40,47,113,365,805,"1,062","1,110",994,"1,042","1,274","1,288","1,309","1,154","1,396","1,159"
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,421","2,060","2,513","1,701","3,540","8,318","12,479","12,189","16,189","21,367","22,518","23,899","24,798","24,141","27,439","23,629","26,955","22,783","31,614","31,724","27,504","25,759"
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,247,158,333,353,316,346,373,"1,662","3,589","3,714","4,053","5,314","5,316","5,521","5,423","5,170","5,598","5,588","6,407","6,017","5,437","6,195","5,930"
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,579,550,525,593,572,"1,337","2,533","3,204","3,762","4,388","4,731","4,952","4,696","4,887","5,740","6,039","5,565","6,475","5,542","6,848","7,129"
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,5,-1,0,0,0,0,0,0,0,0,0,0,7,38,839,"1,246","1,526","1,250","2,104","2,447","2,590","2,576","3,284","7,596","11,078","15,736","14,907","15,126","15,032","12,818","14,976","14,742","13,843","14,204","18,809","28,824","33,370","29,468"
US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,20,14,12,3,"7,206","9,515","10,069","9,852","10,256","11,762","10,796","11,035","11,219","10,324","15,313","19,084","22,988","35,329","38,172","48,258","60,770","90,722","117,543","188,899","252,099","322,953","410,043","480,484","572,669","619,808","650,732","774,499","867,681","930,341","1,009,551","1,153,045","1,290,407","1,481,823","1,436,934"
