State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,190,193,197,200,214,218,216,214,206,195,177,158,153,147,170,177,194,227,267,317,399,529,"1,031","1,882","3,469","4,776","6,653","8,165","10,750","11,494","13,018","14,366","18,568","19,833"
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,41,45,49,51,51,50,50,48,46,43,41,39,37,62,65,70,76,88,110,137,251,551,874,"1,309","1,674","2,598","3,535","4,366","5,097","5,309","5,772","6,928","8,049"
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,85,90,91,98,110,116,114,117,117,117,110,103,96,89,96,97,109,116,127,127,132,136,157,185,190,211,248,309,381,436,550,"1,153","2,771","4,080"
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,226,226,226,226,256,267,266,262,262,251,229,219,210,199,223,273,334,405,407,428,446,488,559,579,605,624,715,945,"1,181","1,369","1,567","2,616","4,276","5,851"
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,338,341,344,342,341,374,369,358,344,322,287,256,225,202,171,140,144,141,180,188,200,208,231,252,280,305,371,"2,449","4,046","4,832","6,267","7,304","7,531","8,462"
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,163,162,163,163,162,159,154,146,138,127,111,94,77,61,46,33,30,34,35,28,30,35,96,207,447,585,714,922,"1,137","1,374","1,606","1,906","2,355","2,989"
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,10,9,9,10,10,10,9,9,9,9,9,9,9,11,12,12,12,14,14,21,21,19,36,343,"1,163","1,161","1,533","1,520","1,809","2,253"
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,6,9,14,16,16,16,36,47,48,37,46,107,192,193,236,269,299,"1,089"
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,161,161,163,164,164,162,164,156,151,141,127,110,99,84,87,114,157,170,224,267,301,357,856,"1,654","3,002","5,246","12,512","18,355","21,846","26,630","29,731","36,370","40,733","41,955"
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,5,5,5,5,5,5,6,7,7,9,10,12
